Name,Revenue_2022,Revenue(% change)_2022,Profits in millions_2022,Market value_2022,Employees_2022,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021,Sector,City,State,Ceo_woman
Globe Life,5112.9,7.9,745.0,9977.3,"3,222",4737.9,0.046,731.8,11203.5,3261,Financials,McKinney,TX,no
Skyworks Solutions,5109.1,52.3,1498.3,21547.5,"10,945",3355.7,-0.006,814.8,30290.4,10000,Technology,Irvine,CA,no
Twitter,5077.5,36.6,-221.4,30976.8,"7,500",3716.3,0.074,-1135.6,50786.4,5500,Technology,San Francisco,CA,no
Leggett & Platt,5072.6,18.5,402.4,4659.0,"20,300",4280.2,-0.099,247.6,6070.9,20400,Household Products,Carthage,MO,no
Western Union,5070.8,4.9,805.8,7374.7,"10,500",4835.0,-0.086,744.3,10133.3,11000,Business Services,Denver,CO,no
PerkinElmer,5067.2,34.0,943.2,22009.4,"16,700",3782.7,0.312,727.9,14376.4,14000,Health Care,Waltham,MA,no
SS&C Technologies Holdings,5051.0,8.2,800.0,19235.1,"24,900",4667.9,0.008,625.2,18005.2,24600,Technology,Windsor,CT,no
FMC,5045.2,8.7,736.5,16563.8,"6,400",4642.1,-0.004,551.5,14325.0,6400,Chemicals,Philadelphia,PA,no
Carlisle,5030.0,18.5,421.7,12804.5,"11,250",4245.2,-0.118,320.1,8670.0,12500,Materials,Scottsdale,AZ,no
American Eagle Outfitters,5010.8,33.3,419.6,2836.6,"24,000",3759.1,-0.127,-209.3,4874.3,21750,Retailing,Pittsburgh,PA,no
Vertiv Holdings,4998.1,14.4,119.6,5263.9,"24,000",4370.6,-0.014,-183.6,7028.8,20972,Industrials,Columbus,OH,no
Broadridge Financial Solutions,4993.7,10.3,547.5,18182.7,"13,704",4529.0,0.038,462.5,17728.8,12000,Business Services,Lake Success,NY,no
Ingles Markets,4987.9,8.2,249.7,1691.4,"18,460",4610.6,0.097,178.6,1245.3,18765,Food & Drug Stores,Black Mountain,NC,no
Insperity,4973.1,16.0,124.1,3849.8,"3,600",4287.0,-0.006,138.2,3199.9,3600,Business Services,Kingwood,TX,no
Howmet Aerospace,4972.0,-5.5,258.0,15055.4,"19,900",5259.0,-0.629,261.0,13932.0,19700,Aerospace & Defense,Pittsburgh,PA,no
Keysight Technologies,4941.0,17.1,894.0,28746.6,"14,300",4221.0,-0.019,627.0,26684.5,13900,Technology,Santa Rosa,CA,no
Tempur Sealy International,4930.8,34.1,624.5,4997.7,"12,000",3676.9,0.184,348.8,7376.6,9000,Household Products,Lexington,KY,no
Scotts Miracle-Gro,4925.0,19.2,512.5,6834.6,"8,050",4131.6,0.309,387.4,13645.6,6866,Chemicals,Marysville,OH,no
Equifax,4923.9,19.3,744.2,29141.8,"12,700",4127.5,0.177,520.1,22174.5,11400,Business Services,Atlanta,GA,no
Kelly Services,4909.7,8.7,156.1,856.0,"7,400",4516.0,-0.157,-72.0,875.4,7100,Business Services,Troy,MI,no
NiSource,4899.6,4.7,584.9,12891.2,"7,307",4681.7,-0.101,-17.6,9447.7,7345,Energy,Merrillville,IN,no
DoorDash,4888.0,69.4,-468.0,40830.3,"8,600",2886.0,2.261,-461.0,42153.5,3886,Technology,San Francisco,CA,no
Avient,4818.8,48.6,230.8,4388.4,"8,700",3242.1,-0.033,131.6,4315.5,8400,Chemicals,Avon Lake,OH,no
Sanderson Farms,4799.7,34.7,455.1,4185.4,"17,662",3564.3,0.036,28.3,3478.6,17445,"Food, Beverages & Tobacco",Laurel,MS,no
TransDigm Group,4798.0,-7.4,680.0,36135.8,"13,300",5182.0,-0.061,699.0,32152.7,14200,Aerospace & Defense,Cleveland,OH,no
Stifel Financial,4783.1,25.3,824.9,7226.0,"8,600",3817.8,0.086,503.5,6724.6,8500,Financials,St. Louis,MO,no
JELD-WEN Holding,4771.7,12.7,168.8,1826.0,"24,700",4235.7,-0.013,91.6,2770.0,23000,Materials,Charlotte,NC,no
Elanco Animal Health,4765.0,45.6,-472.0,12345.4,"9,800",3273.3,0.066,-560.1,13924.0,10200,Health Care,Greenfield,IN,no
Prologis,4759.4,7.2,2939.7,119524.5,"2,053",4438.7,0.333,1481.8,78412.9,1945,Financials,San Francisco,CA,no
Welltower,4742.1,3.0,336.1,43001.5,464,4606.0,-0.101,978.8,29897.1,423,Financials,Toledo,OH,no
Darling Ingredients,4741.4,32.7,650.9,12987.4,"9,900",3571.9,0.062,296.8,12004.7,10000,"Food, Beverages & Tobacco",Irving,TX,no
Gartner,4734.0,15.5,793.6,24477.2,"16,600",4099.4,-0.034,266.7,16196.1,15600,Technology,Stamford,CT,no
Par Pacific Holdings,4710.1,50.7,-81.3,783.3,"1,336",3124.9,-0.421,-409.1,843.7,1403,Energy,Houston,TX,no
Hubbell,4703.5,12.4,399.5,9959.6,"18,300",4186.0,-0.088,351.2,10151.3,19100,Industrials,Shelton,CT,no
CME Group,4689.7,-4.0,2636.4,85492.3,"3,480",4883.6,0.003,2105.2,73330.0,4370,Financials,Chicago,IL,no
Nexstar Media Group,4648.4,3.3,834.6,7728.3,"11,817",4501.3,0.481,811.4,6092.5,11749,Media,Irving,TX,no
Tutor Perini,4641.8,-12.7,91.9,551.8,"7,800",5318.8,0.195,108.4,964.8,8700,Engineering & Construction,Sylmar,CA,no
Antero Resources,4619.4,32.3,-186.9,9608.0,519,3491.7,-0.208,-1267.9,3072.1,522,Energy,Denver,CO,no
Teledyne Technologies,4614.3,49.5,445.3,22102.9,"14,500",3086.2,-0.024,401.9,15314.3,10670,Aerospace & Defense,Thousand Oaks,CA,no
Snap-on,4601.7,16.7,820.5,10976.1,"12,800",3942.2,-0.031,627.0,12561.0,12300,Industrials,Kenosha,WI,no
Rent-A-Center,4583.5,62.9,134.9,1486.9,"14,290",2814.2,0.054,208.1,3137.5,14320,Retailing,Plano,TX,no
Crestwood Equity Partners,4569.0,102.7,-78.5,2931.5,645,2254.3,-0.292,-56.1,2074.6,731,Energy,Houston,TX,no
Louisiana-Pacific,4553.0,63.3,1377.0,5344.1,"4,800",2788.0,0.207,499.0,5909.0,4500,Materials,Nashville,TN,no
Urban Outfitters,4548.8,31.9,310.6,2421.4,"16,330",3449.7,-0.134,1.2,3637.8,14250,Retailing,Philadelphia,PA,no
Amerco,4542.0,14.2,610.9,11704.7,"22,052",3978.9,0.056,442.0,12011.7,22200,Transportation,Reno,NV,no
TriNet Group,4540.0,12.5,338.0,6482.5,"2,800",4034.0,0.046,272.0,5144.6,2700,Business Services,Dublin,CA,no
Illumina,4526.0,39.7,762.0,54855.8,"10,775",3239.0,-0.086,656.0,56034.4,8575,Technology,San Diego,CA,no
Iron Mountain,4491.5,8.3,450.2,16059.5,"25,000",4147.3,-0.027,342.7,10674.5,24000,Business Services,Boston,MA,no
LCI Industries,4472.7,60.0,287.7,2624.5,"13,900",2796.2,0.179,158.4,3328.0,12400,Motor Vehicles & Parts,Elkhart,IN,no
PennyMac Financial Services,4450.2,-1.9,1003.5,2948.5,"7,208",4536.0,0.995,1646.9,4630.4,6632,Financials,Westlake Village,CA,no
Digital Realty Trust,4427.9,13.4,1709.3,40337.7,"3,030",3903.6,0.216,356.4,39593.1,2878,Financials,Austin,TX,no
TreeHouse Foods,4405.5,-3.6,-12.5,1800.0,"10,000",4570.5,-0.072,13.8,2921.2,10900,"Food, Beverages & Tobacco",Oak Brook,IL,no
Ralph Lauren,4400.8,-28.6,-121.1,8073.2,"16,200",6159.8,-0.024,384.3,9005.3,19300,Apparel,New York,NY,no
American National Group,4391.8,15.8,699.3,5084.1,"4,545",3792.4,-0.068,467.5,2900.3,4600,Financials,Galveston,TX,no
Autodesk,4386.4,15.7,497.0,46580.0,"12,600",3790.4,0.158,1208.2,60860.0,11500,Technology,San Rafael,CA,no
Domino's Pizza,4357.4,5.8,510.5,14665.9,"10,450",4117.4,0.138,491.3,14270.4,10650,"Hotels, Restaurants & Leisure",Ann Arbor,MI,no
ASGN,4333.8,9.7,409.9,6022.2,"3,900",3950.6,0.007,200.3,5058.3,4200,Business Services,Glen Allen,VA,no
Flowers Foods,4330.8,-1.3,206.2,5438.6,"8,900",4388.0,0.064,152.3,5038.5,9200,"Food, Beverages & Tobacco",Thomasville,GA,no
BlueLinx Holdings,4277.2,38.1,296.1,699.5,"2,045",3097.3,0.174,80.9,371.1,2100,Wholesalers,Marietta,GA,no
Palo Alto Networks,4256.1,24.9,-498.9,61307.5,"10,473",3408.4,0.175,-267.0,31318.0,8014,Technology,Santa Clara,CA,no
Maximus,4254.5,22.9,291.2,4641.1,"35,800",3461.5,0.199,214.5,5471.7,34300,Technology,Reston,VA,no
Dentsply Sirona,4251.0,27.2,421.0,10708.0,"15,000",3342.0,-0.171,-83.0,13977.5,15000,Health Care,Charlotte,NC,no
Hub Group,4232.4,21.1,171.5,2678.5,"4,700",3495.6,-0.047,73.6,2316.7,5000,Transportation,Oak Brook,IL,no
Voya Financial,4230.0,-53.7,2126.0,7042.2,"5,970",9133.0,0.021,-206.0,7878.5,5970,Financials,New York,NY,no
Weis Markets,4224.4,2.7,108.8,1921.1,"24,000",4112.6,0.161,118.9,1520.3,24000,Food & Drug Stores,Sunbury,PA,no
Century Communities,4216.3,33.4,498.5,1783.2,"1,600",3161.2,0.247,206.2,2033.3,1403,Engineering & Construction,Greenwood Village,CO,no
Synopsys,4204.2,14.1,757.5,51023.2,"16,361",3685.3,0.097,664.3,37755.0,15036,Technology,Mountain View,CA,no
Brink's,4200.2,13.8,105.2,3234.4,"73,350",3690.9,0.002,16.0,3939.5,75100,Business Services,Richmond,VA,no
Lennox International,4194.1,15.4,464.0,9447.2,"11,000",3634.1,-0.045,356.3,11757.4,10300,Industrials,Richardson,TX,no
Service Corp. International,4143.1,18.0,802.9,10581.3,"20,840",3511.5,0.087,515.9,8646.4,20319,Business Services,Houston,TX,no
Conduent,4140.0,-0.6,-28.0,1111.6,"60,000",4163.0,-0.068,-118.0,1412.9,63000,Business Services,Florham Park,NJ,no
Timken,4132.9,17.6,369.1,4539.6,"18,029",3513.2,-0.073,284.5,6165.9,17430,Industrials,North Canton,OH,no
Bloomin' Brands,4122.4,30.0,215.6,1966.6,"82,000",3170.6,-0.234,-158.7,2403.5,77000,"Hotels, Restaurants & Leisure",Tampa,FL,no
CNO Financial Group,4122.2,7.9,441.0,2945.7,"3,350",3821.1,-0.048,301.8,3245.4,3400,Financials,Carmel,IN,no
Snap,4117.0,64.2,-488.0,58458.4,"5,661",2506.6,0.461,-944.8,78869.2,3863,Technology,Santa Monica,CA,no
Zoom Video Communications,4099.9,54.6,1375.6,35066.3,"6,787",2651.4,3.258,672.3,94367.7,4422,Technology,San Jose,CA,no
Patrick Industries,4078.1,64.0,224.9,1408.2,"11,000",2486.6,0.064,97.1,2001.2,8700,Materials,Elkhart,IN,no
Paychex,4056.8,0.4,1097.5,49268.0,"15,000",4040.5,0.071,1098.1,35349.1,15700,Business Services,Rochester,NY,no
Atlas Air Worldwide Holdings,4030.8,25.5,493.3,2523.4,"4,056",3211.1,0.172,360.3,1740.5,4061,Transportation,Purchase,NY,no
Qorvo,4015.3,24.0,733.6,13456.4,"8,750",3239.1,0.048,334.3,20693.1,7900,Technology,Greensboro,NC,no
Catalent,3998.0,29.2,585.0,19862.7,"17,300",3094.3,0.229,220.7,17926.6,13900,Health Care,Somerset,NJ,no
Mercury General,3993.4,5.5,247.9,3045.4,"4,300",3784.5,-0.047,374.6,3367.1,4300,Financials,Los Angeles,CA,no
AMN Healthcare Services,3984.2,66.4,327.4,4796.1,"3,800",2393.7,0.077,70.7,3477.2,3000,Health Care,Dallas,TX,yes
Tri Pointe Homes,3982.2,22.1,469.3,2160.1,"1,390",3260.4,0.058,282.2,2430.3,1163,Engineering & Construction,Incline Village,NV,no
ArcBest,3980.1,35.4,213.5,1979.7,"14,000",2940.2,-0.016,71.1,1787.1,13000,Transportation,Fort Smith,AR,yes
Toro,3959.6,17.2,409.9,8936.9,"10,982",3378.8,0.077,329.7,11099.9,10385,Industrials,Bloomington,MN,no
Spirit AeroSystems Holdings,3953.0,16.1,-540.8,5130.6,"16,100",3404.8,-0.567,-870.3,5129.7,14500,Aerospace & Defense,Wichita,KS,no
Align Technology,3952.6,59.9,772.0,34354.8,"22,540",2471.9,0.027,1775.9,42854.3,18070,Health Care,Tempe,AZ,no
loanDepot,3943.2,-11.3,113.5,1290.3,"11,307",4443.6,2.028,2013.1,6089.1,11763,Financials,Foothill Ranch,CA,no
American Water Works,3930.0,4.1,1263.0,30085.5,"6,400",3777.0,0.046,709.0,27205.6,7000,Energy,Camden,NJ,yes
Matson,3925.3,64.7,927.4,4927.5,"4,259",2383.3,0.082,193.1,2897.1,4149,Transportation,Honolulu,HI,no
Diebold Nixdorf,3905.2,0.1,-78.8,531.2,"22,000",3902.3,-0.115,-269.1,1104.7,22000,Technology,Hudson,OH,no
Marriott Vacations Worldwide,3890.0,34.8,49.0,6620.0,"20,300",2886.0,-0.337,-275.0,7183.2,18000,"Hotels, Restaurants & Leisure",Orlando,FL,no
Terex,3886.8,26.1,220.9,2485.5,"8,600",3082.4,-0.341,-10.6,3212.3,8200,Industrials,Norwalk,CT,no
Sally Beauty Holdings,3875.0,10.3,239.9,1720.5,"29,000",3514.3,-0.093,113.2,2271.0,30000,Retailing,Denton,TX,yes
Meritor,3833.0,25.9,199.0,2519.4,"9,600",3044.0,-0.306,245.0,2134.0,8600,Motor Vehicles & Parts,Troy,MI,no
Ventas,3828.0,0.9,49.0,24676.2,434,3795.4,-0.02,439.1,19984.3,448,Financials,Chicago,IL,yes
GoDaddy,3815.7,15.0,242.3,14018.7,"6,611",3316.7,0.11,-495.1,13201.3,6621,Technology,Tempe,AZ,no
Regal Rexnord,3810.3,31.1,209.9,10002.1,"30,000",2907.0,-0.102,189.3,5796.2,23000,Industrials,Beloit,WI,no
Clean Harbors,3805.6,21.0,203.2,6073.8,"18,300",3144.1,-0.079,134.8,4606.2,13500,Business Services,Norwell,MA,no
Pinnacle West Capital,3803.8,6.0,618.7,8820.0,"5,872",3587.0,0.033,550.6,9167.5,6026,Energy,Phoenix,AZ,no
Mueller Industries,3769.3,57.2,468.5,3100.4,"5,337",2398.0,-0.013,139.5,2361.7,5007,Industrials,Collierville,TN,no
Wynn Resorts,3763.7,79.6,-755.8,9243.3,"26,950",2095.9,-0.683,-2067.2,14497.8,27500,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
RH,3758.8,32.0,688.5,7079.0,"6,100",2848.6,0.076,271.8,12526.7,4750,Retailing,Corte Madera,CA,no
