Company,Sector,City,State,Ceo_woman,lat,long
Fannie Mae,Financials,Washington,DC,no,38.8950368,-77.0365427
United Parcel Service,Transportation,Atlanta,GA,yes,33.7489924,-84.3902644
Lowe's,Retailing,Mooresville,NC,no,35.5848596,-80.8100724
Bank of America,Financials,Charlotte,NC,no,35.2272086,-80.8430827
Johnson & Johnson,Health Care,New Brunswick,NJ,no,40.4862174,-74.4518173
Archer Daniels Midland,"Food, Beverages & Tobacco",Chicago,IL,no,41.8755616,-87.6244212
FedEx,Transportation,Memphis,TN,no,35.1460249,-90.0517638
Humana,Health Care,Louisville,KY,no,38.2542376,-85.759407
Wells Fargo,Financials,San Francisco,CA,no,37.7790262,-122.419906
State Farm Insurance,Financials,Bloomington,IL,no,40.4797828,-88.9939147
Pfizer,Health Care,New York,NY,no,40.7127281,-74.0060152
Citigroup,Financials,New York,NY,yes,40.7127281,-74.0060152
PepsiCo,"Food, Beverages & Tobacco",Purchase,NY,no,41.0409305,-73.7145746
Intel,Technology,Santa Clara,CA,no,37.3541132,-121.955174
Procter & Gamble,Household Products,Cincinnati,OH,no,39.1014537,-84.5124602
General Electric,Industrials,Boston,MA,no,42.3554334,-71.060511
IBM,Technology,Armonk,NY,no,41.1264847,-73.7139777
MetLife,Financials,New York,NY,no,40.7127281,-74.0060152
Prudential Financial,Financials,Newark,NJ,no,40.735657,-74.1723667
Albertsons,Food & Drug Stores,Boise,ID,no,43.6166163,-116.200886
Walt Disney,Media,Burbank,CA,no,34.1812089,-118.307201
Energy Transfer,Energy,Dallas,TX,no,32.7762719,-96.7968559
Lockheed Martin,Aerospace & Defense,Bethesda,MD,no,38.9814093,-77.1178538
Freddie Mac,Financials,McLean,VA,no,38.9342888,-77.1776327
Goldman Sachs Group,Financials,New York,NY,no,40.7127281,-74.0060152
Raytheon Technologies,Aerospace & Defense,Waltham,MA,no,42.3756401,-71.2358004
HP,Technology,Palo Alto,CA,no,37.4443293,-122.1598465
Boeing,Aerospace & Defense,Chicago,IL,no,41.8755616,-87.6244212
Morgan Stanley,Financials,New York,NY,no,40.7127281,-74.0060152
HCA Healthcare,Health Care,Nashville,TN,no,36.1622767,-86.7742984
AbbVie,Health Care,North Chicago,IL,no,42.325578,-87.8411818
Dow,Chemicals,Midland,MI,no,43.6155825,-84.2472117
Tesla,Motor Vehicles & Parts,Austin,TX,no,30.2711286,-97.7436995
Allstate,Financials,Northbrook,IL,no,42.128704,-87.8265089
American International Group,Financials,New York,NY,no,40.7127281,-74.0060152
Best Buy,Retailing,Richfield,MN,yes,44.8766431,-93.2877877
Charter Communications,Telecommunications,Stamford,CT,no,41.0534302,-73.5387341
Sysco,Wholesalers,Houston,TX,no,29.7589382,-95.3676974
Merck,Health Care,Kenilworth,NJ,no,40.6760225,-74.289262
New York Life Insurance,Financials,New York,NY,no,40.7127281,-74.0060152
Caterpillar,Industrials,Deerfield,IL,no,42.1711365,-87.8445119
Cisco Systems,Technology,San Jose,CA,no,37.3361663,-121.890591
TJX,Retailing,Framingham,MA,no,42.2773177,-71.4165905
Publix Super Markets,Food & Drug Stores,Lakeland,FL,no,28.0394654,-81.9498042
ConocoPhillips,Energy,Houston,TX,no,29.7589382,-95.3676974
Liberty Mutual Insurance Group,Financials,Boston,MA,no,42.3554334,-71.060511
Progressive,Financials,Mayfield Village,OH,yes,41.53638285,-81.45873093
Nationwide,Financials,Columbus,OH,no,39.9622601,-83.0007065
Tyson Foods,"Food, Beverages & Tobacco",Springdale,AR,no,36.1867442,-94.1288142
Bristol-Myers Squibb,Health Care,New York,NY,no,40.7127281,-74.0060152
Nike,Apparel,Beaverton,OR,no,45.4871723,-122.80378
Deere,Industrials,Moline,IL,no,41.5058344,-90.5136642
American Express,Financials,New York,NY,no,40.7127281,-74.0060152
Abbott Laboratories,Health Care,Abbott Park,IL,no,41.71961645,-87.62209127
StoneX Group,Financials,New York,NY,no,40.7127281,-74.0060152
Plains GP Holdings,Energy,Houston,TX,no,29.7589382,-95.3676974
