"Company","Revenue_2021","Revenue%change_2021","Profits_in_millions_2021","Market_value_2021","Employees_2021","Revenue_2022","Revenue%change_2022","Profits_in_millions_2022","Market_value_2022","Employees_2022","Sector","City","State","Ceo_woman","lat","long"
"Charter Communications","48097","0.051","3222","128965.7",96100,"51682","7.5","4654","112803.4",93700,"Telecommunications","Stamford","CT","no","41.053430200000000","-73.538734100000000"
"Sysco","52893.3","-0.12","215.5","40189.8",57000,"51297.8","-3","524.2","41433.1",57710,"Wholesalers","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Merck","47994","0.025","7067","195062",73500,"51216","6.7","13049","207400.5",67500,"Health Care","Kenilworth","NJ","no","40.676022500000000","-74.289262000000000"
"Caterpillar","41748","-0.224","2998","126439.6",97300,"50971","22.1","6489","119406.6",107700,"Industrials","Deerfield","IL","no","42.171136500000000","-87.844511900000000"
"Cisco Systems","49301","-0.05","11214","218308.5",77500,"49818","1","10591","231636.4",79500,"Technology","San Jose","CA","no","37.336166300000000","-121.890591000000000"
"TJX","32137","-0.23","90.5","79774.9",320000,"48550","51.1","3282.8","71195.3",340000,"Retailing","Framingham","MA","no","42.277317700000000","-71.416590500000000"
"ConocoPhillips","19256","-0.475","-2701","71623.4",9700,"48349","151.1","8079","129605.1",9900,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Progressive","42658.1","0.093","5704.6","55946.5",43326,"47702","11.8","3350.9","66670.3",49077,"Financials","Mayfield Village","OH","yes","41.536382850000000","-81.458730930000000"
"Tyson Foods","43185","0.018","2061","27099.6",139000,"47049","8.9","3047","32487.8",137000,"Food, Beverages & Tobacco","Springdale","AR","no","36.186744200000000","-94.128814200000000"
"Bristol-Myers Squibb","42518","0.626","-9015","141027.9",30250,"46385","9.1","6994","155203.5",32200,"Health Care","New York","NY","no","40.712728100000000","-74.006015200000000"
"Nike","37403","-0.044","2539","209499.8",75400,"44538","19.1","5727","212779.1",73300,"Apparel","Beaverton","OR","no","45.487172300000000","-122.803780000000000"
"Deere","35540","-0.095","2751","117270",69634,"44024","23.9","5963","127456.6",75550,"Industrials","Moline","IL","no","41.505834400000000","-90.513664200000000"
"American Express","38185","-0.188","3135","113635.8",63700,"43663","14.3","8060","141613",64000,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"Abbott Laboratories","34608","0.085","4495","212300.1",109000,"43075","24.5","7071","208725.8",113000,"Health Care","Abbott Park","IL","no","41.719616450000000","-87.622091270000000"
"Plains GP Holdings","23290","-0.308","-568","1824.5",4400,"42078","80.7","60","2242.9",4100,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Enterprise Products Partners","27199.7","-0.17","3775.6","48038.8",7130,"40806.9","50","4637.7","56172.4",6911,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Oracle","39068","-0.011","10135","202337.7",135000,"40479","3.6","13746","220736.6",132000,"Technology","Austin","TX","yes","30.271128600000000","-97.743699500000000"
"Thermo Fisher Scientific","32218","0.261","6375","179719.4",84362,"39211","21.7","7725","231057.4",129000,"Technology","Waltham","MA","no","42.375640100000000","-71.235800400000000"
"Coca-Cola","33014","-0.114","7747","227143.8",80300,"38655","17.1","9771","268769.7",79000,"Food, Beverages & Tobacco","Atlanta","GA","no","33.748992400000000","-84.390264400000000"
"General Dynamics","37925","-0.036","3167","51481.9",100700,"38469","1.4","3257","67081",103100,"Aerospace & Defense","Reston","VA","yes","38.958373700000000","-77.357980500000000"
"Nucor","20139.7","-0.108","721.5","23975.7",26400,"36483.9","81.2","6827.5","39954",28800,"Materials","Charlotte","NC","no","35.227208600000000","-80.843082700000000"
"Exelon","33039","-0.041","1963","42723.5",32340,"36347","10","1706","46683.9",31518,"Energy","Chicago","IL","no","41.875561600000000","-87.624421200000000"
"Northrop Grumman","36799","0.087","3189","53956.7",97000,"35667","-3.1","7005","69811.9",88000,"Aerospace & Defense","Falls Church","VA","yes","38.882334000000000","-77.171091400000000"
"3M","32184","0.001","5384","111642.1",94987,"35355","9.9","5921","84738.3",95000,"Chemicals","St. Paul","MN","no","44.949748700000000","-93.093102800000000"
"Travelers","31981","0.013","2697","37933",30294,"34816","8.9","3662","44129.4",30492,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"Arrow Electronics","28673.4","-0.008","584.4","8267.5",19600,"34477","20.2","1108.2","7951.3",20700,"Wholesalers","Centennial","CO","no","39.579155000000000","-104.876922700000000"
"Honeywell International","32637","-0.111","4779","150972.4",103000,"34392","5.4","5542","133381",99000,"Industrials","Charlotte","NC","no","35.227208600000000","-80.843082700000000"
"Dollar General","33746.8","0.216","2655.1","48479.7",158000,"34220.4","1.4","2399.2","50953",163000,"Retailing","Goodlettsville","TN","no","36.334911500000000","-86.705339130000000"
"Qualcomm","23531","-0.031","5198","150622.2",41000,"33566","42.6","9043","172228.1",45000,"Technology","San Diego","CA","no","32.717420200000000","-117.162772800000000"
"Capital One Financial","31643","-0.063","2714","58097",51985,"32033","1.2","12390","53260.4",50767,"Financials","McLean","VA","no","38.934288800000000","-77.177632700000000"
"TD Synnex","24675.6","0.039","529.2","5874.5",277900,"31614.2","28.1","395.1","9853.6",27000,"Wholesalers","Fremont","CA","no","37.548269700000000","-121.988571000000000"
"Philip Morris International","28694","-0.037","8056","138302.4",71000,"31405","9.4","9109","145614.7",69600,"Food, Beverages & Tobacco","New York","NY","no","40.712728100000000","-74.006015200000000"
"World Fuel Services","20358.3","-0.447","109.6","2222",4300,"31337","53.9","73.7","1715.5",4414,"Energy","Miami","FL","no","25.774172800000000","-80.193620000000000"
"Performance Food Group","25086.3","0.271","-114.1","7705.3",20000,"30398.9","21.2","40.7","7880.9",22885,"Wholesalers","Richmond","VA","no","37.538508700000000","-77.434280000000000"
"Delta Air Lines","17095","-0.636","-12385","30809.7",74000,"29899","74.9","280","25322",83000,"Transportation","Atlanta","GA","no","33.748992400000000","-84.390264400000000"
"American Airlines Group","17337","-0.621","-8885","15328.8",102700,"29882","72.4","-1993","11847.2",123400,"Transportation","Fort Worth","TX","no","32.753177000000000","-97.332745900000000"
"Netflix","24996.1","0.24","2761.4","231040.7",9400,"29697.8","18.8","5116.2","166304.1",11300,"Media","Los Gatos","CA","no","37.226611000000000","-121.974679700000000"
"US Foods Holding","22885","-0.118","-226","8427.5",26000,"29487","28.8","164","8392.3",28000,"Wholesalers","Rosemont","IL","no","41.994133400000000","-87.875673700000000"
"Danaher","22284","0.086","3646","160497.2",69000,"29453","32.2","6433","209993.4",79000,"Health Care","Washington","DC","no","38.895036800000000","-77.036542700000000"
"Jabil","27266.4","0.078","53.9","7833.2",240000,"29285","7.4","696","8857.3",238000,"Technology","St. Petersburg","FL","no","27.770047500000000","-82.635907800000000"
"Starbucks","23518","-0.113","928.3","128643.6",349000,"29060.6","23.6","4199.3","104642.8",383000,"Hotels, Restaurants & Leisure","Seattle","WA","no","47.603832100000000","-122.330062000000000"
"Mondelez International","26581","0.028","3555","82651.1",79000,"28720","8","4300","87159.2",79000,"Food, Beverages & Tobacco","Chicago","IL","no","41.875561600000000","-87.624421200000000"
"Eli Lilly","24539.8","0.099","6193.7","179158.9",35000,"28318.4","15.4","5581.7","272723.6",35238,"Health Care","Indianapolis","IN","no","39.768333100000000","-86.158350200000000"
"Hewlett Packard Enterprise","26982","-0.074","-322","20480",59400,"27784","3","3427","21725.3",60400,"Technology","Houston","TX","no","29.758938200000000","-95.367697400000000"
"D.R. Horton","20311.1","0.155","2373.7","32413.1",9716,"27774.2","36.7","4175.8","26403.2",11788,"Engineering & Construction","Arlington","TX","no","32.735581600000000","-97.107118600000000"
"Molina Healthcare","19423","0.154","673","13647.3",10500,"27771","43","659","19572.9",14000,"Health Care","Long Beach","CA","no","33.769016400000000","-118.191604000000000"
"CBRE Group","23826.2","-0.003","752","26549.1",100000,"27746","16.5","1836.6","30414.2",105000,"Financials","Dallas","TX","no","32.776271900000000","-96.796855900000000"
"Micron Technology","21435","-0.084","2687","98678",40000,"27705","29.3","5861","86977.2",43000,"Technology","Boise","ID","no","43.616616300000000","-116.200886000000000"
"Broadcom","23888","0.057","2960","189313.5",21000,"27450","14.9","6736","257086.5",20000,"Technology","San Jose","CA","no","37.336166300000000","-121.890591000000000"
"Gilead Sciences","24689","0.1","123","81372.8",13600,"27305","10.6","6225","74656.5",14400,"Health Care","Foster City","CA","no","37.560033600000000","-122.268852200000000"
"PBF Energy","15115.9","-0.383","-1392.4","1699.5",3729,"27253.4","80.3","231","2932.6",3418,"Energy","Parsippany","NJ","no","40.857877200000000","-74.425986600000000"
"Lennar","22488.9","0.01","2465","30893.2",9495,"27130.7","20.6","4430.1","23413",10753,"Engineering & Construction","Miami","FL","no","25.774172800000000","-80.193620000000000"
"United Natural Foods","26742.8","0.139","-274.1","1854.4",28300,"26992","0.9","149","2409.3",28300,"Wholesalers","Providence","RI","no","41.823989100000000","-71.412834300000000"
"NRG Energy","9093","-0.079","510","9232.1",4104,"26989","196.8","2187","9289",6635,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Nvidia","16675","0.527","4332","331036.6",18975,"26914","61.4","9752","684878.6",22473,"Technology","Santa Clara","CA","no","37.354113200000000","-121.955174000000000"
"Occidental Petroleum","16680","-0.241","-14831","24848.7",11800,"26772","60.5","2322","53160.2",11678,"Energy","Houston","TX","yes","29.758938200000000","-95.367697400000000"
"Salesforce","21252","0.243","4072","195132.3",56606,"26492","24.7","1444","210196.8",73541,"Technology","San Francisco","CA","no","37.779026200000000","-122.419906000000000"
"Dollar Tree","25509.3","0.08","1341.9","26717.4",129772,"26321.2","3.2","1327.9","36051.4",136226,"Retailing","Chesapeake","VA","no","36.718370800000000","-76.246679800000000"
"KKR","9629.7","0.056","2002.5","42352.6",1583,"26141.3","171.5","4666.5","51542.9",3238,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"Kraft Heinz","26185","0.048","356","48924.7",38000,"26042","-0.5","1012","48248.6",36000,"Food, Beverages & Tobacco","Chicago","IL","no","41.875561600000000","-87.624421200000000"
"Amgen","25424","0.088","7264","143704.3",24300,"25979","2.2","5893","134700.8",24200,"Health Care","Thousand Oaks","CA","no","34.170560900000000","-118.837593700000000"
