company,sector,city,state,ceo_woman
Western & Southern Financial Group,Financials,Cincinnati,OH,no
Insight Enterprises,Technology,Tempe,AZ,yes
News Corp.,Media,New York,NY,no
American Tower,Financials,Boston,MA,no
Old Republic International,Financials,Chicago,IL,no
Burlington Stores,Retailing,Burlington,NJ,no
Avis Budget Group,Retailing,Parsippany,NJ,no
ODP,Retailing,Boca Raton,FL,no
VF Corp.,Apparel,Denver,CO,no
Bed Bath & Beyond,Retailing,Union,NJ,yes
Seaboard,"Food, Beverages & Tobacco",Merriam,KS,no
First American Financial,Financials,Santa Ana,CA,no
Intercontinental Exchange,Financials,Atlanta,GA,no
PVH,Apparel,New York,NY,no
Apollo Global Management,Financials,New York,NY,no
Jefferies Financial Group,Financials,New York,NY,no
Hershey,"Food, Beverages & Tobacco",Hershey,PA,yes
NVR,Engineering & Construction,Reston,VA,no
Foot Locker,Retailing,New York,NY,yes
Dana,Motor Vehicles & Parts,Maumee,OH,no
SpartanNash,Wholesalers,Byron Center,MI,no
Olin,Chemicals,Clayton,MO,no
Chewy,Retailing,Dania Beach,FL,no
Jackson Financial,Financials,Lansing,MI,yes
Activision Blizzard,Media,Santa Monica,CA,no
Toll Brothers,Engineering & Construction,Fort Washington,PA,no
Carlyle Group,Financials,Washington,DC,no
Graybar Electric,Wholesalers,St. Louis,MO,yes
Ovintiv,Energy,Denver,CO,no
UFP Industries,Materials,Grand Rapids,MI,no
Ulta Beauty,Retailing,Bolingbrook,IL,no
Constellation Brands,"Food, Beverages & Tobacco",Victor,NY,no
Expedia Group,Retailing,Seattle,WA,no
CommScope Holding,Technology,Hickory,NC,no
Celanese,Chemicals,Irving,TX,yes
Global Payments,Business Services,Atlanta,GA,no
Owens Corning,Materials,Toledo,OH,no
Campbell Soup,"Food, Beverages & Tobacco",Camden,NJ,no
Huntsman,Chemicals,The Woodlands,TX,no
Franklin Resources,Financials,San Mateo,CA,yes
Avery Dennison,Materials,Glendale,CA,no
Masco,Household Products,Livonia,MI,no
CenterPoint Energy,Energy,Houston,TX,no
Fifth Third Bancorp,Financials,Cincinnati,OH,no
WEC Energy Group,Energy,Milwaukee,WI,no
S&P Global,Business Services,New York,NY,no
FM Global,Financials,Johnston,RI,no
Polaris,Transportation,Medina,MN,no
Williams-Sonoma,Retailing,San Francisco,CA,yes
Autoliv,Motor Vehicles & Parts,Auburn Hills,MI,no
Arthur J. Gallagher,Financials,Rolling Meadows,IL,no
Motorola Solutions,Technology,Chicago,IL,no
Zillow Group,Technology,Seattle,WA,no
Opendoor Technologies,Technology,San Francisco,CA,no
J.M. Smucker,"Food, Beverages & Tobacco",Orrville,OH,no
Anywhere Real Estate,Financials,Madison,NJ,no
Oshkosh,Industrials,Oshkosh,WI,no
MasTec,Engineering & Construction,Coral Gables,FL,no
GXO Logistics,Transportation,Greenwich,CT,no
APA,Energy,Houston,TX,no
Boise Cascade,Wholesalers,Boise,ID,no
Dover,Industrials,Downers Grove,IL,no
Genworth Financial,Financials,Richmond,VA,no
Bath & Body Works,Retailing,Columbus,OH,yes
Booz Allen Hamilton Holding,Technology,McLean,VA,no
Coinbase Global,Financials,Wilmington,DE,no
Zimmer Biomet Holdings,Health Care,Warsaw,IN,no
Westinghouse Air Brake Technologies,Industrials,Pittsburgh,PA,no
Zoetis,Health Care,Parsippany,NJ,yes
Packaging Corp. of America,Materials,Lake Forest,IL,no
LPL Financial Holdings,Financials,San Diego,CA,no
T. Rowe Price,Financials,Baltimore,MD,no
Fortune Brands Home & Security,Household Products,Deerfield,IL,no
Casey's General Stores,Retailing,Ankeny,IA,no
A-Mark Precious Metals,Wholesalers,El Segundo,CA,no
Hess,Energy,New York,NY,no
Vertex Pharmaceuticals,Health Care,Boston,MA,yes
KeyCorp,Financials,Cleveland,OH,no
Chipotle,"Hotels, Restaurants & Leisure",Newport Beach,CA,no
CMS Energy,Energy,Jackson,MI,no
Arconic,Materials,Pittsburgh,PA,no
