Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Principal Financial,14741.7,-0.091,1395.8,16345.9,17400
Dominion Energy,16128.0,-0.027,-401.0,61224.0,17300
Kellogg,13770.0,0.014,1251.0,21544.5,31000
Fluor,15884.2,-0.096,-435.0,3252.4,43717
AECOM,16390.8,-0.188,-186.4,9469.8,54000
Reliance Steel & Aluminum,8811.9,-0.197,369.1,9685.9,13000
Jacobs Engineering Group,13578.2,-0.122,491.8,16816.2,53500
Corning,11303.0,-0.017,512.0,33466.3,50110
Qurate Retail,14177.0,0.053,1204.0,4880.5,26424
PulteGroup,11036.1,0.081,1406.8,13869.1,5249
Fidelity National Information Services,12552.0,0.215,158.0,87336.9,62000
IQVIA Holdings,11359.0,0.024,279.0,37034.4,70000
Marriott International,10571.0,-0.496,-267.0,48220.2,121000
Berry Global Group,11709.0,0.319,559.0,8221.1,47000
Ball,11781.0,0.027,585.0,27800.5,21500
Group 1 Automotive,10851.8,-0.099,286.5,2855.3,12337
Leidos Holdings,12297.0,0.108,628.0,13608.8,39000
Wayfair,14145.2,0.55,185.0,32644.7,16122
Consolidated Edison,12246.0,-0.026,1101.0,25613.0,14071
Ameriprise Financial,11958.0,-0.087,1534.0,27103.5,12300
O'Reilly Automotive,11604.5,0.143,1752.3,35460.8,70179
Global Partners,8321.6,-0.364,102.2,726.1,2958
Discover Financial Services,12953.0,-0.074,1141.0,29099.7,17600
Rocket Companies,15980.7,2.043,198.0,45821.0,24000
LKQ,11628.8,-0.07,638.4,12801.2,44000
W.W. Grainger,11797.0,0.027,695.0,20985.1,22450
Quanta Services,11202.7,-0.075,445.6,12173.4,35800
Crown Holdings,11575.0,-0.008,579.0,13091.9,33264
Fox,12303.0,0.08,999.0,21022.2,9000
Markel,9735.1,0.022,816.0,15699.6,18900
Carvana,5586.6,0.418,-171.1,45475.4,10400
XPO Logistics,16252.0,-0.024,110.0,12601.7,119750
Baxter International,11673.0,0.027,1102.0,42656.8,50000
Ecolab,12748.7,-0.145,-1205.1,61240.7,44000
Tractor Supply,10620.4,0.272,749.0,20576.8,32000
Andersons,8208.4,0.005,7.7,921.9,2294
Keurig Dr Pepper,11618.0,0.045,1325.0,48367.8,27000
Universal Health Services,11558.9,0.016,944.0,11350.6,78550
CSX,10583.0,-0.113,2765.0,73230.6,19282
Henry Schein,10119.1,-0.018,403.8,9850.7,19000
Sonic Automotive,9767.0,-0.066,-51.4,2038.0,8100
eBay,11351.0,0.051,5667.0,41670.5,12700
Textron,11651.0,-0.145,309.0,12726.0,33000
Community Health Systems,11789.0,-0.108,511.0,1752.4,62500
Mosaic,8681.7,-0.025,666.1,11983.1,12617
Thor Industries,8167.9,0.039,223.0,7460.0,22250
Dick's Sporting Goods,9584.0,0.095,530.3,6798.8,33450
Newmont,11497.0,0.18,2829.0,48282.7,14300
Devon Energy,5091.0,-0.309,-2680.0,14707.2,1400
J.B. Hunt Transport Services,9636.6,0.051,506.0,17765.8,30309
Alcoa,9286.0,-0.11,-170.0,6053.6,12900
Aramark,12829.6,-0.209,-461.5,9595.3,209325
Vistra,11443.0,-0.031,636.0,8512.0,5365
State Street,12078.0,-0.08,2420.0,29553.6,39439
Unum Group,13162.1,0.097,793.0,5669.8,10500
Alleghany,8896.7,-0.016,101.8,8750.3,10407
Boston Scientific,9913.0,-0.077,-82.0,54903.0,38000
Entergy,10113.6,-0.07,1388.3,20000.3,13400
International Flavors & Fragrances,5084.2,-0.011,363.2,34741.5,13700
DaVita,11550.6,-0.181,773.6,11790.0,67000
Assurant,10094.8,0.001,441.8,8208.9,13850
Liberty Media,9363.0,-0.09,-1421.0,14919.2,7047
Hormel Foods,9608.5,0.012,908.1,25808.3,19100
Icahn Enterprises,6123.0,-0.319,-1653.0,12964.7,23833
Republic Services,10153.6,-0.014,967.2,31682.5,35000
Mohawk Industries,9552.2,-0.042,515.6,13505.2,42000
Conagra Brands,11054.4,0.159,840.1,18370.6,16500
Norfolk Southern,9789.0,-0.133,2013.0,67418.0,20156
AES,9660.0,-0.052,46.0,18180.2,8162
AGCO,9149.7,0.012,427.1,10815.9,21426
Caesars Entertainment,3474.0,0.374,-1757.0,18213.9,21000
Equitable Holdings,12415.0,0.294,-648.0,14207.5,12400
Advance Auto Parts,10106.3,0.041,493.0,12006.1,54000
Biogen,13444.6,-0.065,4000.6,42615.9,9100
Booking Holdings,6796.0,-0.549,59.0,95434.4,20199
Amphenol,8598.9,0.045,1203.4,39526.2,80000
Quest Diagnostics,9437.0,0.221,1431.0,17127.6,44500
FirstEnergy,10435.0,-0.038,1079.0,18871.6,12153
DCP Midstream,6302.0,-0.174,-306.0,4513.1,1837
Ally Financial,10780.0,-0.072,1085.0,16875.6,9500
Delek US Holdings,7301.8,-0.215,-608.0,1609.0,3532
Williams,7719.0,-0.059,211.0,28777.6,4739
Newell Brands,9385.0,-0.069,-770.0,11390.4,31000
Eastman Chemical,8473.0,-0.086,478.0,15033.2,14500
Air Products & Chemicals,8856.3,-0.007,1886.7,62254.0,19138
Molson Coors Beverage,9654.0,-0.087,-949.0,11118.2,17000
Interpublic Group,9061.0,-0.114,351.1,11407.8,50200
Weyerhaeuser,7532.0,0.149,797.0,26655.3,9372
Altice USA,9894.6,0.014,436.2,15393.7,8900
Raymond James Financial,8168.0,0.018,818.0,16877.9,14800
EMCOR Group,8797.1,-0.041,132.9,6146.0,33000
Eversource Energy,8904.4,0.044,1205.2,29728.2,9299
